time,value
115.0,1
126.0,1
130.0,1
135.0,1
139.0,1
141.0,1
145.0,1
148.0,1
154.0,1
157.0,1
157.0,1
158.0,1
163.0,1
165.0,1
172.0,1
173.0,1
176.0,1
180.0,1
181.0,1
184.0,1
188.0,1
192.0,1
195.0,1
196.0,1
199.0,1
199.0,1
201.0,1
203.0,1
205.0,1
211.0,1
214.0,1
218.0,1
220.0,1
223.0,1
223.0,1
228.0,1
232.0,1
236.0,1
242.0,1
249.0,1
250.0,1
253.0,1
254.0,1
255.0,1
259.0,1
262.0,1
268.0,1
271.0,1
275.0,1
276.0,1
281.0,1
281.0,1
283.0,1
285.0,1
292.0,1
292.0,1
299.0,1
307.0,1
307.0,1
308.0,1
309.0,1
311.0,1
311.0,1
315.0,1
316.0,1
319.0,1
320.0,1
324.0,1
330.0,1
332.0,1
334.0,1
335.0,1
336.0,1
339.0,1
341.0,1
346.0,1
346.0,1
347.0,1
355.0,1
357.0,1
358.0,1
363.0,1
367.0,1
370.0,1
373.0,1
376.0,1
382.0,1
385.0,1
388.0,1
389.0,1
389.0,1
390.0,1
394.0,1
397.0,1
403.0,1
415.0,1
416.0,1
417.0,1
417.0,1
418.0,1
420.0,1
421.0,1
421.0,1
422.0,1
439.0,1
442.0,1
443.0,1
448.0,1
449.0,1
450.0,1
452.0,1
454.0,1
456.0,1
458.0,1
469.0,1
470.0,1
471.0,1
473.0,1
478.0,1
479.0,1
486.0,1
489.0,1
490.0,1
491.0,1
493.0,1
497.0,1
498.0,1
500.0,1
502.0,1
504.0,1
508.0,1
516.0,1
517.0,1
523.0,1
531.0,1
532.0,1
537.0,1
541.0,1
541.0,1
543.0,1
545.0,1
546.0,1
552.0,1
554.0,1
555.0,1
558.0,1
565.0,1
569.0,1
574.0,1
576.0,1
577.0,1
578.0,1
581.0,1
585.0,1
585.0,1
589.0,1
590.0,1
592.0,1
593.0,1
594.0,1
604.0,1
611.0,1
615.0,1
616.0,1
619.0,1
622.0,1
623.0,1
628.0,1
630.0,1
632.0,1
643.0,1
643.0,1
646.0,1
651.0,1
652.0,1
658.0,1
659.0,1
659.0,1
661.0,1
667.0,1
669.0,1
670.0,1
675.0,1
677.0,1
681.0,1
682.0,1
683.0,1
694.0,1
695.0,1
697.0,1
698.0,1
700.0,1
701.0,1
702.0,1
702.0,1
703.0,1
704.0,1
704.0,1
708.0,1
710.0,1
712.0,1
720.0,1
724.0,1
731.0,1
733.0,1
734.0,1
736.0,1
740.0,1
743.0,1
745.0,1
746.0,1
751.0,1
759.0,1
762.0,1
763.0,1
772.0,1
772.0,1
781.0,1
784.0,1
785.0,1
789.0,1
790.0,1
790.0,1
793.0,1
794.0,1
795.0,1
801.0,1
803.0,1
809.0,1
812.0,1
813.0,1
820.0,1
821.0,1
821.0,1
822.0,1
826.0,1
827.0,1
830.0,1
833.0,1
840.0,1
844.0,1
847.0,1
852.0,1
854.0,1
859.0,1
859.0,1
863.0,1
868.0,1
872.0,1
876.0,1
880.0,1
880.0,1
883.0,1
886.0,1
886.0,1
890.0,1
892.0,1
902.0,1
904.0,1
908.0,1
913.0,1
918.0,1
919.0,1
922.0,1
922.0,1
923.0,1
927.0,1
928.0,1
929.0,1
929.0,1
931.0,1
935.0,1
939.0,1
946.0,1
946.0,1
949.0,1
950.0,1
960.0,1
961.0,1
961.0,1
963.0,1
965.0,1
970.0,1
971.0,1
975.0,1
982.0,1
983.0,1
984.0,1
990.0,1
994.0,1
995.0,1
997.0,1
1002.0,1
1003.0,1
1004.0,1
1006.0,1
1010.0,1
1012.0,1
1014.0,1
1016.0,1
1018.0,1
1021.0,1
1030.0,1
1037.0,1
1038.0,1
1040.0,1
1046.0,1
1048.0,1
1051.0,1
1053.0,1
1059.0,1
1060.0,1
1064.0,1
1064.0,1
1065.0,1
1067.0,1
1068.0,1
1072.0,1
1080.0,1
1081.0,1
1081.0,1
1085.0,1
1086.0,1
1098.0,1
1101.0,1
1102.0,1
1103.0,1
1104.0,1
1109.0,1
1112.0,1
1115.0,1
1117.0,1
1118.0,1
1123.0,1
1125.0,1
1129.0,1
1133.0,1
1134.0,1
1138.0,1
1140.0,1
1141.0,1
1149.0,1
1152.0,1
1156.0,1
1160.0,1
1161.0,1
1165.0,1
1165.0,1
1166.0,1
1167.0,1
1168.0,1
1171.0,1
1173.0,1
1176.0,1
1188.0,1
1192.0,1
1195.0,1
1199.0,1
1199.0,1
1203.0,1
1204.0,1
1214.0,1
1216.0,1
1219.0,1
1220.0,1
1222.0,1
1225.0,1
1226.0,1
1230.0,1
1231.0,1
1233.0,1
1234.0,1
1237.0,1
1240.0,1
1241.0,1
1242.0,1
1246.0,1
1246.0,1
1248.0,1
1249.0,1
1252.0,1
1254.0,1
1257.0,1
1273.0,1
1275.0,1
1279.0,1
1280.0,1
1281.0,1
1288.0,1
1288.0,1
1296.0,1
1300.0,1
1300.0,1
1302.0,1
1303.0,1
1304.0,1
1307.0,1
1315.0,1
1318.0,1
1323.0,1
1324.0,1
1328.0,1
1330.0,1
1331.0,1
1337.0,1
1339.0,1
1346.0,1
1348.0,1
1349.0,1
1357.0,1
1360.0,1
1361.0,1
1362.0,1
1365.0,1
1366.0,1
1369.0,1
1372.0,1
1376.0,1
1385.0,1
1388.0,1
1392.0,1
1393.0,1
1396.0,1
1397.0,1
1399.0,1
1403.0,1
1404.0,1
1409.0,1
1415.0,1
1415.0,1
1419.0,1
1420.0,1
1420.0,1
1423.0,1
1426.0,1
1436.0,1
1438.0,1
1439.0,1
1441.0,1
1442.0,1
1443.0,1
1446.0,1
1447.0,1
1447.0,1
1449.0,1
1450.0,1
1453.0,1
1462.0,1
1470.0,1
1473.0,1
1474.0,1
1474.0,1
1477.0,1
1478.0,1
1480.0,1
1484.0,1
1486.0,1
1492.0,1
1497.0,1
1501.0,1
1501.0,1
1504.0,1
1505.0,1
1511.0,1
1520.0,1
1522.0,1
1523.0,1
1524.0,1
1527.0,1
1528.0,1
1531.0,1
1534.0,1
1538.0,1
1543.0,1
1547.0,1
1550.0,1
1551.0,1
1554.0,1
1555.0,1
1558.0,1
1559.0,1
1561.0,1
1565.0,1
1570.0,1
1570.0,1
1572.0,1
1574.0,1
1577.0,1
1578.0,1
1582.0,1
1585.0,1
1586.0,1
1597.0,1
1597.0,1
1601.0,1
1604.0,1
1605.0,1
1608.0,1
1609.0,1
1613.0,1
1619.0,1
1620.0,1
1626.0,1
1631.0,1
1632.0,1
1635.0,1
1639.0,1
1655.0,1
1658.0,1
1658.0,1
1662.0,1
1663.0,1
1663.0,1
1666.0,1
1667.0,1
1669.0,1
1678.0,1
1679.0,1
1681.0,1
1682.0,1
1685.0,1
1689.0,1
1690.0,1
1693.0,1
1694.0,1
1696.0,1
1700.0,1
1706.0,1
1706.0,1
1712.0,1
1716.0,1
1717.0,1
1721.0,1
1727.0,1
1732.0,1
1732.0,1
1733.0,1
1735.0,1
1739.0,1
1740.0,1
1743.0,1
1744.0,1
1744.0,1
1747.0,1
1748.0,1
1750.0,1
1756.0,1
1759.0,1
1759.0,1
1766.0,1
1771.0,1
1774.0,1
1775.0,1
1781.0,1
1786.0,1
1786.0,1
1787.0,1
1790.0,1
1793.0,1
1794.0,1
1797.0,1
1798.0,1
1798.0,1
1801.0,1
1802.0,1
1813.0,1
1820.0,1
1824.0,1
1829.0,1
1835.0,1
1836.0,1
1840.0,1
1841.0,1
1844.0,1
1847.0,1
1850.0,1
1855.0,1
1858.0,1
1862.0,1
1867.0,1
1870.0,1
1871.0,1
1873.0,1
1874.0,1
1875.0,1
1877.0,1
1882.0,1
1883.0,1
1889.0,1
1890.0,1
1891.0,1
1894.0,1
1897.0,1
1898.0,1
1904.0,1
1905.0,1
1909.0,1
1916.0,1
1917.0,1
1921.0,1
1921.0,1
1922.0,1
1924.0,1
1927.0,1
1928.0,1
1929.0,1
1933.0,1
1933.0,1
1935.0,1
1936.0,1
1943.0,1
1944.0,1
1945.0,1
1948.0,1
1951.0,1
1956.0,1
1960.0,1
1963.0,1
1971.0,1
1975.0,1
1975.0,1
1977.0,1
1979.0,1
1982.0,1
1983.0,1
1986.0,1
1990.0,1
1992.0,1
1998.0,1
2002.0,1
2009.0,1
2014.0,1
2017.0,1
2024.0,1
2025.0,1
2029.0,1
2030.0,1
2031.0,1
2032.0,1
2033.0,1
2035.0,1
2036.0,1
2037.0,1
2040.0,1
2041.0,1
2044.0,1
2056.0,1
2056.0,1
2062.0,1
2063.0,1
2064.0,1
2068.0,1
2068.0,1
2071.0,1
2072.0,1
2073.0,1
2079.0,1
2083.0,1
2085.0,1
2089.0,1
2090.0,1
2095.0,1
2110.0,1
2110.0,1
2111.0,1
2116.0,1
2116.0,1
2117.0,1
2122.0,1
2122.0,1
2125.0,1
2128.0,1
2133.0,1
2137.0,1
2138.0,1
2143.0,1
2144.0,1
2145.0,1
2148.0,1
2149.0,1
2149.0,1
2152.0,1
2160.0,1
2164.0,1
2164.0,1
2166.0,1
2170.0,1
2171.0,1
2172.0,1
2176.0,1
2187.0,1
2191.0,1
2193.0,1
2197.0,1
2198.0,1
2199.0,1
2202.0,1
2203.0,1
2208.0,1
2214.0,1
2218.0,1
2220.0,1
2225.0,1
2226.0,1
2226.0,1
2230.0,1
2240.0,1
2241.0,1
2242.0,1
2245.0,1
2247.0,1
2248.0,1
2257.0,1
2265.0,1
2268.0,1
2269.0,1
2269.0,1
2272.0,1
2272.0,1
2275.0,1
2278.0,1
2283.0,1
2284.0,1
2290.0,1
2294.0,1
2296.0,1
2299.0,1
2305.0,1
2306.0,1
2307.0,1
2310.0,1
2311.0,1
2316.0,1
2321.0,1
2322.0,1
2323.0,1
2326.0,1
2334.0,1
2334.0,1
2338.0,1
2341.0,1
2347.0,1
2348.0,1
2353.0,1
2356.0,1
2359.0,1
2359.0,1
2360.0,1
2361.0,1
2364.0,1
2365.0,1
2367.0,1
2375.0,1
2376.0,1
2377.0,1
2379.0,1
2380.0,1
2386.0,1
2387.0,1
2388.0,1
2391.0,1
2392.0,1
2403.0,1
2406.0,1
2407.0,1
2408.0,1
2409.0,1
2415.0,1
2418.0,1
2419.0,1
2419.0,1
2422.0,1
2424.0,1
2425.0,1
2434.0,1
2436.0,1
2436.0,1
2437.0,1
2442.0,1
2445.0,1
2446.0,1
2449.0,1
2461.0,1
2463.0,1
2467.0,1
2468.0,1
2469.0,1
2472.0,1
2473.0,1
2478.0,1
2479.0,1
2488.0,1
2490.0,1
2490.0,1
2491.0,1
2495.0,1
2499.0,1
2500.0,1
2503.0,1
2506.0,1
2507.0,1
2517.0,1
2523.0,1
2526.0,1
2527.0,1
2530.0,1
2533.0,1
2537.0,1
2542.0,1
2544.0,1
2549.0,1
2550.0,1
2553.0,1
2554.0,1
2554.0,1
2556.0,1
2559.0,1
2560.0,1
2566.0,1
2566.0,1
2569.0,1
2571.0,1
2577.0,1
2580.0,1
2584.0,1
2593.0,1
2596.0,1
2597.0,1
2598.0,1
2602.0,1
2602.0,1
2608.0,1
2610.0,1
2611.0,1
2611.0,1
2613.0,1
2619.0,1
2623.0,1
2624.0,1
2629.0,1
2631.0,1
2638.0,1
2640.0,1
2645.0,1
2647.0,1
2650.0,1
2656.0,1
2658.0,1
2661.0,1
2665.0,1
2665.0,1
2672.0,1
2674.0,1
2674.0,1
2677.0,1
2683.0,1
2685.0,1
2687.0,1
2688.0,1
2692.0,1
2701.0,1
2704.0,1
2706.0,1
2711.0,1
2712.0,1
2714.0,1
2715.0,1
2716.0,1
2722.0,1
2726.0,1
2728.0,1
2730.0,1
2731.0,1
2731.0,1
2732.0,1
2742.0,1
2743.0,1
2746.0,1
2753.0,1
2758.0,1
2759.0,1
2760.0,1
2760.0,1
2764.0,1
2769.0,1
2770.0,1
2782.0,1
2785.0,1
2786.0,1
2791.0,1
2793.0,1
2796.0,1
2797.0,1
2800.0,1
2800.0,1
2807.0,1
2809.0,1
2809.0,1
2812.0,1
2814.0,1
2815.0,1
