time,value
15,100.0
6,120.0
0,130.0
30,105.0
9,130.0
21,120.0
45,100.0
3,145.0
24,130.0
57,100.0
42,115.0
12,146.0
18,145.0
60,105.0
27,145.0
33,140.0
36,140.0
39,141.0
81,100.0
54,130.0
48,140.0
87,105.0
90,105.0
51,145.0
84,115.0
99,100.0
96,105.0
63,140.0
75,130.0
66,145.0
69,145.0
72,146.0
120,100.0
78,145.0
93,130.0
108,120.0
117,115.0
111,125.0
102,140.0
144,105.0
105,145.0
153,100.0
114,140.0
150,105.0
129,130.0
132,130.0
123,145.0
126,145.0
135,140.0
171,105.0
156,125.0
141,140.0
138,145.0
180,105.0
177,115.0
147,145.0
159,140.0
162,145.0
192,115.0
168,140.0
204,105.0
165,146.0
195,116.0
210,105.0
186,130.0
219,100.0
174,146.0
183,141.0
225,105.0
207,125.0
234,100.0
189,146.0
231,105.0
198,141.0
201,140.0
216,130.0
246,100.0
222,125.0
255,100.0
237,120.0
213,145.0
243,120.0
267,100.0
270,100.0
228,145.0
261,115.0
252,130.0
240,145.0
288,100.0
264,125.0
249,140.0
285,105.0
294,100.0
276,121.0
258,145.0
300,115.0
291,125.0
312,105.0
297,120.0
273,145.0
315,105.0
321,100.0
279,142.0
282,140.0
339,100.0
342,100.0
303,140.0
306,142.0
309,140.0
345,105.0
327,125.0
324,130.0
336,120.0
318,140.0
369,100.0
330,140.0
366,105.0
333,140.0
378,100.0
354,125.0
381,105.0
384,105.0
390,100.0
351,140.0
348,145.0
357,140.0
393,105.0
360,140.0
372,130.0
399,105.0
363,145.0
375,141.0
387,130.0
408,115.0
426,105.0
402,130.0
417,120.0
396,145.0
411,130.0
438,105.0
405,140.0
441,105.0
447,105.0
414,140.0
450,105.0
453,105.0
420,145.0
423,146.0
429,145.0
456,120.0
462,115.0
432,146.0
435,146.0
465,120.0
480,105.0
474,115.0
444,146.0
477,115.0
468,125.0
489,105.0
459,145.0
471,140.0
495,120.0
486,130.0
504,115.0
507,115.0
483,140.0
498,130.0
510,120.0
492,140.0
543,100.0
528,115.0
501,145.0
546,105.0
522,130.0
513,145.0
534,125.0
519,140.0
516,145.0
567,100.0
549,120.0
525,145.0
570,105.0
531,146.0
540,141.0
582,100.0
537,146.0
594,100.0
564,131.0
597,100.0
552,146.0
585,115.0
576,125.0
561,141.0
555,147.0
588,115.0
558,146.0
573,131.0
603,105.0
579,131.0
612,100.0
615,105.0
624,100.0
591,140.0
633,100.0
609,125.0
636,100.0
600,140.0
627,116.0
630,115.0
606,140.0
651,100.0
618,141.0
621,141.0
663,100.0
642,130.0
657,115.0
666,115.0
639,145.0
645,140.0
684,105.0
648,142.0
660,130.0
693,100.0
654,140.0
690,105.0
696,105.0
678,125.0
669,140.0
672,140.0
708,105.0
720,100.0
675,146.0
681,140.0
702,120.0
726,100.0
687,140.0
705,125.0
717,116.0
735,105.0
699,145.0
732,115.0
711,141.0
714,140.0
744,115.0
729,130.0
723,140.0
738,130.0
747,125.0
771,105.0
765,115.0
780,100.0
753,130.0
756,130.0
741,145.0
750,140.0
762,130.0
777,125.0
759,145.0
768,140.0
798,115.0
813,105.0
774,145.0
822,100.0
792,130.0
783,140.0
807,120.0
828,100.0
789,140.0
804,125.0
786,145.0
795,140.0
819,120.0
816,130.0
801,145.0
849,100.0
810,140.0
855,105.0
861,100.0
846,115.0
858,105.0
840,125.0
825,145.0
831,140.0
834,141.0
882,100.0
837,146.0
843,141.0
885,105.0
879,115.0
870,125.0
852,145.0
897,105.0
903,100.0
873,131.0
876,130.0
864,146.0
867,145.0
909,105.0
900,116.0
888,130.0
891,130.0
930,100.0
912,125.0
933,105.0
894,146.0
921,125.0
918,130.0
906,145.0
948,105.0
954,105.0
915,145.0
939,125.0
924,140.0
960,105.0
927,140.0
963,105.0
942,130.0
975,105.0
951,130.0
936,145.0
945,140.0
966,120.0
978,120.0
981,120.0
1002,100.0
957,146.0
984,120.0
969,140.0
987,125.0
990,125.0
1017,100.0
972,146.0
1008,115.0
1005,120.0
1014,115.0
993,140.0
1029,105.0
1038,100.0
999,141.0
996,145.0
1044,105.0
1032,120.0
1011,145.0
1020,140.0
1056,105.0
1065,100.0
1035,130.0
1041,125.0
1047,120.0
1023,145.0
1026,145.0
1068,105.0
1071,105.0
1083,105.0
1092,100.0
1050,145.0
1053,146.0
1059,140.0
1098,105.0
1062,142.0
1074,140.0
1086,130.0
1119,100.0
1089,131.0
1077,145.0
1110,115.0
1080,146.0
1125,105.0
1131,100.0
1113,120.0
1134,100.0
1122,115.0
1095,145.0
1101,140.0
1137,105.0
1146,100.0
1116,130.0
1128,120.0
1104,145.0
1107,145.0
1149,105.0
1152,105.0
1143,130.0
1155,120.0
1164,115.0
1140,140.0
1176,105.0
1188,100.0
1167,121.0
1191,105.0
1200,100.0
1170,130.0
1182,120.0
1158,145.0
1179,125.0
1161,146.0
1215,100.0
1173,145.0
1218,105.0
1194,130.0
1203,125.0
1185,145.0
1206,125.0
1197,140.0
1239,100.0
1230,116.0
1233,115.0
1209,140.0
1212,145.0
1245,115.0
1221,140.0
1257,105.0
1224,141.0
1266,100.0
1248,121.0
1227,145.0
1236,140.0
1260,125.0
1242,146.0
1287,105.0
1251,142.0
1296,100.0
1272,125.0
1254,145.0
1263,140.0
1299,105.0
1284,125.0
1269,146.0
1275,140.0
1278,141.0
1290,130.0
1320,100.0
1323,100.0
1281,145.0
