time,value,min,max
0,101.66666666666667,100.0,105
200,101.64179104477611,100.0,105
400,101.69117647058823,100.0,105
600,101.66666666666667,100.0,105
800,101.64179104477611,100.0,105
1000,101.71641791044776,100.0,105
1200,101.61538461538461,100.0,105
1400,101.69117647058823,100.0,105
1600,101.64179104477611,100.0,105
1800,101.66666666666667,100.0,105
2000,101.71641791044776,100.0,105
2200,101.64179104477611,100.0,105
2400,101.66666666666667,100.0,105
2600,101.64179104477611,100.0,105
2800,101.64179104477611,100.0,105
3000,101.74242424242425,100.0,105
3200,101.64179104477611,100.0,105
3400,101.66666666666667,100.0,105
3600,101.64179104477611,100.0,105
3800,101.64179104477611,100.0,105
4000,101.71641791044776,100.0,105
4200,101.66666666666667,100.0,105
