time,value
3,100.0
6,105.0
9,125.0
18,125.0
45,100.0
0,146.0
12,140.0
48,105.0
15,145.0
21,140.0
57,105.0
24,140.0
63,105.0
27,146.0
33,140.0
30,145.0
36,140.0
72,105.0
39,145.0
42,146.0
84,105.0
51,141.0
54,140.0
69,125.0
96,100.0
60,141.0
87,116.0
75,130.0
108,100.0
66,145.0
99,116.0
102,115.0
78,140.0
90,130.0
81,141.0
126,100.0
129,105.0
93,142.0
111,126.0
147,100.0
105,145.0
114,140.0
117,140.0
153,105.0
141,120.0
132,130.0
138,126.0
144,120.0
120,145.0
123,145.0
165,105.0
135,140.0
150,125.0
177,100.0
180,100.0
162,120.0
156,130.0
186,100.0
168,120.0
171,120.0
192,105.0
183,115.0
201,100.0
198,105.0
159,145.0
189,120.0
204,105.0
207,105.0
213,100.0
195,120.0
174,145.0
210,115.0
219,115.0
216,120.0
240,100.0
222,120.0
225,120.0
231,115.0
237,115.0
255,100.0
243,120.0
261,105.0
267,100.0
249,120.0
246,125.0
252,120.0
273,100.0
258,115.0
228,146.0
234,145.0
264,120.0
276,120.0
285,115.0
288,115.0
291,115.0
303,105.0
309,100.0
279,130.0
270,140.0
315,100.0
300,115.0
297,120.0
321,100.0
306,120.0
312,115.0
327,100.0
282,146.0
330,105.0
336,100.0
318,120.0
294,145.0
339,105.0
342,105.0
333,120.0
324,140.0
369,100.0
354,115.0
375,100.0
360,120.0
345,140.0
357,130.0
372,115.0
351,140.0
366,125.0
348,145.0
396,100.0
381,115.0
378,120.0
393,105.0
363,140.0
384,125.0
390,120.0
411,105.0
387,130.0
399,120.0
423,100.0
420,105.0
429,100.0
426,105.0
432,100.0
408,125.0
414,120.0
405,130.0
417,120.0
438,105.0
402,145.0
450,100.0
435,115.0
447,115.0
462,105.0
453,120.0
444,130.0
456,120.0
477,100.0
474,105.0
441,140.0
483,100.0
480,105.0
486,100.0
489,100.0
468,130.0
471,130.0
504,100.0
459,146.0
465,140.0
513,100.0
516,105.0
507,115.0
519,105.0
525,100.0
495,130.0
501,125.0
498,130.0
531,100.0
492,140.0
537,100.0
540,100.0
510,130.0
528,125.0
534,120.0
543,115.0
558,105.0
522,142.0
552,120.0
546,130.0
573,105.0
555,125.0
585,100.0
549,141.0
561,130.0
594,100.0
579,120.0
576,130.0
582,125.0
567,140.0
588,120.0
564,145.0
612,100.0
609,105.0
570,145.0
618,100.0
600,120.0
621,100.0
591,140.0
627,105.0
603,130.0
615,120.0
639,100.0
624,115.0
636,105.0
597,145.0
645,100.0
651,100.0
606,146.0
660,100.0
642,120.0
666,100.0
654,115.0
630,141.0
675,100.0
678,100.0
633,146.0
663,125.0
669,120.0
693,100.0
648,146.0
681,115.0
657,141.0
699,100.0
705,100.0
690,116.0
687,120.0
708,105.0
714,100.0
696,120.0
717,100.0
672,146.0
720,100.0
684,141.0
726,100.0
723,105.0
729,100.0
711,120.0
732,100.0
735,105.0
741,100.0
744,100.0
747,100.0
702,146.0
753,100.0
762,105.0
768,100.0
750,120.0
759,115.0
771,105.0
774,105.0
780,100.0
738,142.0
786,100.0
777,115.0
789,105.0
795,100.0
756,142.0
798,100.0
801,100.0
765,142.0
807,100.0
783,130.0
816,105.0
822,100.0
804,120.0
825,100.0
813,115.0
792,141.0
819,120.0
810,130.0
828,115.0
834,120.0
855,100.0
840,115.0
852,105.0
861,100.0
864,100.0
849,120.0
831,140.0
843,130.0
870,105.0
837,140.0
882,105.0
846,142.0
891,100.0
867,125.0
873,121.0
879,115.0
858,140.0
897,105.0
888,120.0
894,115.0
906,105.0
909,105.0
915,100.0
876,141.0
921,105.0
885,142.0
924,105.0
930,100.0
936,100.0
933,105.0
900,141.0
942,100.0
927,120.0
948,100.0
903,146.0
912,141.0
951,105.0
918,141.0
939,120.0
963,100.0
972,100.0
945,130.0
960,115.0
957,120.0
975,105.0
966,120.0
987,100.0
990,100.0
954,140.0
996,100.0
999,100.0
981,121.0
978,130.0
1005,105.0
1011,100.0
969,145.0
1002,115.0
1017,100.0
1023,100.0
984,141.0
1008,120.0
1029,100.0
993,141.0
1014,125.0
1044,100.0
1041,105.0
1026,120.0
1050,100.0
1053,100.0
1035,120.0
1038,120.0
1020,140.0
1059,105.0
1065,100.0
1071,100.0
1032,140.0
1077,100.0
1047,130.0
1080,100.0
1056,125.0
1062,120.0
1086,105.0
1068,125.0
1074,120.0
1098,100.0
